구분,타입,순위,브랜드명,모델명,등록량
남성,모델,1,기아,더 뉴쏘렌토 하이브리드(MQ4),6856
남성,모델,2,테슬라,모델 Y,5780
남성,모델,3,현대,쏘나타 디 엣지,2618
남성,모델,4,현대,포터II,2499
남성,모델,5,기아,더 뉴스포티지,2267
남성,모델,6,르노코리아,필랑트,2104
남성,모델,7,현대,디 올뉴그랜저 하이브리드,1868
남성,모델,8,기아,EV5,1827
남성,모델,9,기아,더 뉴카니발 하이브리드(KA4),1728
남성,모델,10,기아,더 뉴봉고Ⅲ화물,1716
남성,모델,11,현대,디 올뉴싼타페 하이브리드,1572
남성,모델,12,기아,PV5,1515
남성,모델,13,테슬라,모델 3,1433
남성,모델,14,현대,디 올뉴그랜저,1380
남성,모델,15,현대,더 뉴아반떼(CN7),1221
남성,모델,16,기아,EV3,1206
남성,모델,17,현대,디 올뉴팰리세이드 하이브리드,1184
남성,모델,18,기아,더 뉴모닝(JA),1165
남성,모델,19,기아,더 뉴쏘렌토(MQ4),986
남성,모델,20,기아,디 올뉴셀토스,976
남성,모델,21,현대,더 뉴아이오닉 5,951
남성,모델,22,제네시스,신형 GV70,919
남성,모델,23,현대,더 뉴투싼 하이브리드,911
남성,모델,24,제네시스,뉴 G80,891
남성,모델,25,현대,더 뉴투싼,882
남성,모델,26,기아,더 뉴기아 레이,862
남성,모델,27,KG모빌리티,무쏘(Q300),846
남성,모델,28,기아,더 뉴K5(DL3),836
남성,모델,29,르노코리아,그랑 콜레오스 하이브리드,802
남성,모델,30,BMW,5시리즈(8세대),765
여성,모델,1,기아,더 뉴쏘렌토 하이브리드(MQ4),1753
여성,모델,2,테슬라,모델 Y,1738
여성,모델,3,기아,더 뉴모닝(JA),1144
여성,모델,4,현대,더 뉴아반떼(CN7),1001
여성,모델,5,기아,더 뉴스포티지,984
여성,모델,6,기아,디 올뉴셀토스,955
여성,모델,7,기아,EV3,896
여성,모델,8,테슬라,모델 3,855
여성,모델,9,현대,디 올뉴코나,718
여성,모델,10,현대,디 올뉴그랜저 하이브리드,705
여성,모델,11,기아,더 뉴기아 레이,703
여성,모델,12,현대,쏘나타 디 엣지,690
여성,모델,13,기아,EV5,633
여성,모델,14,현대,포터II,525
여성,모델,15,제네시스,신형 GV70,503
여성,모델,16,현대,디 올뉴그랜저,490
여성,모델,17,르노코리아,필랑트,485
여성,모델,18,현대,베뉴,458
여성,모델,19,현대,더 뉴투싼,455
여성,모델,20,기아,PV5,443
여성,모델,21,기아,디 올뉴셀토스 하이브리드,436
여성,모델,22,기아,더 뉴카니발 하이브리드(KA4),405
여성,모델,23,현대,더 뉴투싼 하이브리드,393
여성,모델,24,기아,더 뉴봉고Ⅲ화물,319
여성,모델,25,현대,디 올뉴싼타페 하이브리드,319
여성,모델,26,벤츠,E클래스(6세대),308
여성,모델,27,기아,더 뉴쏘렌토(MQ4),302
여성,모델,28,BMW,5시리즈(8세대),301
여성,모델,29,제네시스,뉴 G80,284
여성,모델,30,기아,더 뉴스포티지 하이브리드,272
남성,브랜드,1,기아,-,26826
남성,브랜드,2,현대,-,21084
남성,브랜드,3,테슬라,-,7407
남성,브랜드,4,르노코리아,-,3234
남성,브랜드,5,제네시스,-,2798
남성,브랜드,6,BMW,-,2413
남성,브랜드,7,KG모빌리티,-,2016
남성,브랜드,8,BYD,-,1239
남성,브랜드,9,벤츠,-,1194
남성,브랜드,10,렉서스,-,512
남성,브랜드,11,토요타,-,464
남성,브랜드,12,쉐보레,-,463
남성,브랜드,13,볼보,-,430
남성,브랜드,14,아우디,-,393
남성,브랜드,15,폴스타,-,334
남성,브랜드,16,폭스바겐,-,268
남성,브랜드,17,포르쉐,-,184
남성,브랜드,18,미니,-,181
남성,브랜드,19,링컨,-,67
남성,브랜드,20,랜드로버,-,64
남성,브랜드,21,지프,-,49
남성,브랜드,22,혼다,-,46
남성,브랜드,23,GMC,-,43
남성,브랜드,24,포드,-,33
남성,브랜드,25,지리(모빌리티네트웍스),-,17
남성,브랜드,26,캐딜락,-,15
남성,브랜드,27,푸조,-,15
남성,브랜드,28,벤틀리,-,8
남성,브랜드,29,신위안(제이스 모빌리티),-,5
남성,브랜드,30,마세라티,-,4
여성,브랜드,1,현대,-,17899
여성,브랜드,2,기아,-,17614
여성,브랜드,3,기아,-,10974
여성,브랜드,4,현대,-,8169
여성,브랜드,5,쉐보레,-,4121
여성,브랜드,6,르노코리아,-,2977
여성,브랜드,7,KG모빌리티,-,2736
여성,브랜드,8,테슬라,-,2634
여성,브랜드,9,제네시스,-,2360
여성,브랜드,10,벤츠,-,2281
여성,브랜드,11,BMW,-,1896
여성,브랜드,12,BMW,-,1107
여성,브랜드,13,제네시스,-,1080
여성,브랜드,14,르노코리아,-,949
여성,브랜드,15,벤츠,-,783
여성,브랜드,16,미니,-,684
여성,브랜드,17,KG모빌리티,-,644
여성,브랜드,18,아우디,-,614
여성,브랜드,19,BYD,-,535
여성,브랜드,20,폭스바겐,-,377
여성,브랜드,21,테슬라,-,325
여성,브랜드,22,볼보,-,314
여성,브랜드,23,포르쉐,-,312
여성,브랜드,24,렉서스,-,285
여성,브랜드,25,쉐보레,-,279
여성,브랜드,26,볼보,-,279
여성,브랜드,27,랜드로버,-,278
여성,브랜드,28,지프,-,240
여성,브랜드,29,미니,-,217
여성,브랜드,30,토요타,-,217
